y_act,vf,vsa,gsa,pld,lcd,TInf
138.2116529,0.89,1539,5275,16.3,19.4,0.338173033
138.4706422,0.9,1348,4984,17.6,20.4,0.304806266
137.5792685,0.89,1612,5326,15.7,18.2,0.373650022
130.2203337,0.86,1890,5665,10.6,14.9,0.478830474
143.0491457,0.92,1444,7252,16.2,21,0.318445578
46.03335604,0.9226,1135.877109,5761.26694,20.72612,25.31042,0.239998212
17.66799583,0.931468,993.695554,5522.824983,22.43978,25.54811,0.212684328
127.2625301,0.83,1576,3495,13,16.8,0.433865207
136.0194441,0.87,1682,4901,13.9,16.8,0.374521412
17.59835764,0.9,1245,4467,18.1,21.6,0.275667311
128.690689,0.84,1681,3457,12.6,15.7,0.438500625
135.7808803,0.88,1426,4397,15.6,18.9,0.347972339
134.637796,0.88,1394,3997,16.2,19.3,0.328205382
39.40525789,0.943046,1010.739457,6423.014259,22.65146,27.39471,0.20173388
71.48326705,0.49,856,594,4.5,5.8,0.873185185
125.9226518,0.82,1664,3223,11.8,14.4,0.471408318
133.8410543,0.87,1608,4198,14.2,16.2,0.362978011
131.3937127,0.86,1760,4979,10.7,15.9,0.473878903
109.5445416,0.76,2096,2850,9.5,10.7,0.614712733
132.2648057,0.86,1842,6126,10.5,14.8,0.438328598
0,0.01,0,0,1,2.7,1
0,0.13,0,0,1.8,3.8,0.994666667
121.0222878,0.81,2108,4561,8.3,12.5,0.53505291
80.45266701,0.65,1141,1386,4.4,7.4,0.835202676
0,0.19,0,0,2.2,3.6,0.997252747
116.6191489,0.78,1887,3816,7.6,10.8,0.638626339
144.8739032,0.93,1274,7028,15.9,19.9,0.263267571
35.6073701,0.95,918,7311,21.1,27.1,0.181555671
22.15621172,0.96,862,7875,23.1,27.9,0.16799474
140.6608417,0.91,1601,6512,12.4,17.2,0.351381582
6.215711226,0.94,1228,8842,15.8,20.4,0.227695212
145.9617661,0.94,1259,8496,17.4,20.9,0.239516955
125.8239727,0.84,2248,5712,8,10.7,0.541
7.756368077,0.96,796,9381,24.4,28.7,0.145087236
125.0603596,0.82,1898,4758,9.5,12.9,0.507936508
144.7508814,0.93,1297,7008,16.3,19.5,0.267126736
142.1131713,0.92,1376,7026,14.4,21.3,0.29383669
136.5437026,0.89,1765,6246,11.4,14.9,0.405279503
144.5340649,0.94,1160,6673,18.5,23.1,0.231012931
146.0410058,0.94,1106,7723,18.3,24.6,0.215925807
12.31615301,0.95,1013,8538,19.8,25.1,0.195204425
129.5838539,0.86,2089,6187,9.9,12.3,0.484588802
139.5278568,0.9,1614,6588,13.1,17.8,0.359435262
99.09978196,0.67,1922,2053,5.2,7.2,0.745238095
147.9732639,0.95,1021,7584,19.8,25.6,0.202464116
139.8580736,0.91,1696,7760,11.9,15.5,0.339861673
119.2600862,0.8,2198,4647,7.5,10.6,0.590878206
144.1630671,0.93,1369,6586,14.5,20.2,0.292517007
146.2502657,0.94,1251,8472,17.3,21.2,0.241123743
127.5849133,0.84,2099,5189,8.8,12.1,0.505239561
129.4113997,0.86,1969,5236,9.6,13,0.46028176
5.69118005,0.94,1158,8185,18,21.8,0.214683116
146.9558849,0.95,1059,8028,19.3,24.4,0.213625413
138.3930777,0.89,1745,6239,11.4,15.4,0.398806947
144.1580506,0.93,1333,7669,15,20.2,0.271640571
128.1180604,0.84,2118,5534,8.5,12.1,0.502337831
147.1588699,0.95,1057,8318,19.2,24,0.206183043
4.806075963,0.95,1014,8355,19.6,24.4,0.186673154
12.07829679,0.95,996,8519,19.4,24.7,0.190681445
12.85965346,0.95,1024,8793,19.4,24.4,0.192477422
31.55780462,0.96,927,8213,20.8,26.3,0.18155662
6.465621631,0.97,732,9368,25.6,31.1,0.134009662
144.3051616,0.93,1397,7669,14.6,19.6,0.280420484
10.11229638,0.96,909,8055,21,26.6,0.16966272
91.80017995,0.7,1500,1821,7.3,8.7,0.747901235
7.368996193,0.93,1200,5977,17.7,21.6,0.227066259
126.3101998,0.83,2492,5377,9.3,11,0.553470508
129.6209783,0.85,2005,4854,12.7,14,0.493717421
10.77055481,0.94,1344,7655,17.9,20.4,0.238431831
66.78719246,0.57,824,963,5,6.4,0.869146722
136.9203346,0.88,1775,4721,12.3,14.2,0.3865722
141.7947239,0.92,1453,6110,15.7,17.7,0.299801587
131.0264101,0.86,1812,4110,11.8,12.9,0.432438017
138.4943717,0.9,1994,6577,11.4,13,0.396834416
131.0237231,0.87,2071,5845,13,13.5,0.483267665
118.5652829,0.82,1719,3908,11.8,12.6,0.588224638
138.2466147,0.88,1747,4756,11.8,14.3,0.404238506
138.2222505,0.89,1641,4485,12.8,15.1,0.378401361
